#  Time (au), Ener. (au), Ez  (au), HOMO Occ, LUMO Occ
0.00000000,-0.58269663,1.00190378,1.00000000,0.00000000
0.00000000,-0.58269663,1.00190378,1.00000000,0.00000000
0.00500000,-0.58269667,1.00190378,1.00000000,0.00000000
0.01000000,-0.58269681,1.00190378,1.00000000,0.00000000
0.01500000,-0.58269703,1.00190378,1.00000000,0.00000000
0.02000000,-0.58269735,1.00190378,1.00000000,0.00000000
0.02500000,-0.58269775,1.00190378,1.00000000,0.00000000
0.03000000,-0.58269824,1.00190378,1.00000000,0.00000000
0.03500000,-0.58269883,1.00190378,1.00000000,0.00000000
0.04000000,-0.58269950,1.00190378,1.00000000,0.00000000
0.04500000,-0.58270026,1.00190378,1.00000000,0.00000000
0.05000000,-0.58270112,1.00190378,1.00000000,0.00000000
0.05500000,-0.58270206,1.00190378,1.00000000,0.00000000
0.06000000,-0.58270309,1.00190378,1.00000000,0.00000000
0.06500000,-0.58270421,1.00190378,1.00000000,0.00000000
0.07000000,-0.58270543,1.00190378,1.00000000,0.00000000
0.07500000,-0.58270673,1.00190378,1.00000000,0.00000000
0.08000000,-0.58270812,1.00190377,1.00000000,0.00000000
0.08500000,-0.58270960,1.00190377,1.00000000,0.00000000
0.09000000,-0.58271117,1.00190377,1.00000000,0.00000000
0.09500000,-0.58271283,1.00190377,1.00000000,0.00000000
0.10000000,-0.58271458,1.00190376,1.00000000,0.00000000
0.10500000,-0.58271642,1.00190376,1.00000000,0.00000000
0.11000000,-0.58271835,1.00190376,1.00000000,0.00000000
0.11500000,-0.58272036,1.00190375,1.00000000,0.00000000
0.12000000,-0.58272247,1.00190374,1.00000000,0.00000000
0.12500000,-0.58272467,1.00190374,1.00000000,0.00000000
0.13000000,-0.58272696,1.00190373,1.00000000,0.00000000
0.13500000,-0.58272933,1.00190372,1.00000000,0.00000000
0.14000000,-0.58273180,1.00190371,1.00000000,0.00000000
0.14500000,-0.58273435,1.00190370,1.00000000,0.00000000
0.15000000,-0.58273700,1.00190369,1.00000000,0.00000000
0.15500000,-0.58273973,1.00190368,1.00000000,0.00000000
0.16000000,-0.58274255,1.00190366,1.00000000,0.00000000
0.16500000,-0.58274547,1.00190365,1.00000000,0.00000000
0.17000000,-0.58274847,1.00190363,1.00000000,0.00000000
0.17500000,-0.58275156,1.00190361,1.00000000,0.00000000
0.18000000,-0.58275474,1.00190359,1.00000000,0.00000000
0.18500000,-0.58275801,1.00190357,1.00000000,0.00000000
0.19000000,-0.58276137,1.00190354,1.00000000,0.00000000
0.19500000,-0.58276481,1.00190352,1.00000000,0.00000000
0.20000000,-0.58276835,1.00190349,1.00000000,0.00000000
0.20500000,-0.58277197,1.00190346,1.00000000,0.00000000
0.21000000,-0.58277569,1.00190343,1.00000000,0.00000000
0.21500000,-0.58277949,1.00190339,1.00000000,0.00000000
0.22000000,-0.58278338,1.00190336,1.00000000,0.00000000
0.22500000,-0.58278736,1.00190332,1.00000000,0.00000000
0.23000000,-0.58279143,1.00190327,1.00000000,0.00000000
0.23500000,-0.58279559,1.00190323,1.00000000,0.00000000
0.24000000,-0.58279984,1.00190318,1.00000000,0.00000000
0.24500000,-0.58280417,1.00190313,1.00000000,0.00000000
0.25000000,-0.58280860,1.00190307,1.00000000,0.00000000
0.25500000,-0.58281311,1.00190301,1.00000000,0.00000000
0.26000000,-0.58281771,1.00190295,1.00000000,0.00000000
0.26500000,-0.58282240,1.00190289,1.00000000,0.00000000
0.27000000,-0.58282718,1.00190282,1.00000000,0.00000000
0.27500000,-0.58283205,1.00190274,1.00000000,0.00000000
0.28000000,-0.58283700,1.00190267,1.00000000,0.00000000
0.28500000,-0.58284204,1.00190258,1.00000000,0.00000000
0.29000000,-0.58284717,1.00190250,1.00000000,0.00000000
0.29500000,-0.58285239,1.00190241,1.00000000,0.00000000
0.30000000,-0.58285770,1.00190231,1.00000000,0.00000000
